reversed_path,pred_0,pred_1,pred_2,input,mean,deviation,VaR(CCC)
"['h1_1', 'h0_5', 'x_2']",-0.008006439633190005,0.047292592852281316,0.6901300530239991,x_2,0.24313873541436348,0.38809203066058434,0.15061542426225594
"['h1_1', 'h0_3', 'x_2']",-0.008006439089588917,0.04729258964132788,0.6901300061672857,x_2,0.24313871890634156,0.3880920043108884,0.15061540381004263
"['h1_1', 'h0_3', 'x_3']",-0.008006436824584677,0.04729257626235693,0.690129810931005,x_3,0.24313865012292576,0.38809189452050274,0.15061531859251304
"['h1_1', 'h0_5', 'x_3']",-0.008006436643384341,0.047292575192039256,0.6901297953121028,x_3,0.2431386446202526,0.3880918857372721,0.15061531177511187
"['h1_5', 'h0_5', 'x_2']",-0.005508258470629471,0.04787797986230529,0.6901301857847253,x_2,0.24416663572546704,0.3871371056834098,0.14987513859692764
"['h1_5', 'h0_3', 'x_2']",-0.00550825747333378,0.047877971193775425,0.6901300608334608,x_2,0.2441665915179675,0.387137035590445,0.14987508432575747
"['h1_5', 'h0_5', 'x_3']",-0.005508256413707403,0.04787796198346503,0.6901299280727794,x_3,0.24416654454751233,0.3871369611166906,0.149875026662666
"['h1_5', 'h0_3', 'x_3']",-0.005508255915059697,0.0478779576492013,0.6901298655971647,x_3,0.24416652244376877,0.38713692607021793,0.14987499952709737
"['h1_4', 'h0_3', 'x_2']",0.07133422307995275,0.07466317535682634,0.6901302326414552,x_2,0.2787092103594115,0.35630494476293323,0.1269532136625169
"['h1_4', 'h0_5', 'x_2']",0.07133420693571328,0.0746631584591841,0.6901300764523604,x_2,0.27870914728241925,0.356304864124607,0.12695315619885467
"['h1_4', 'h0_3', 'x_3']",0.07133420289965589,0.07466315423477611,0.6901300374051105,x_3,0.27870913151318083,0.3563048439650378,0.12695314183294992
"['h1_4', 'h0_5', 'x_3']",0.07133418029772866,0.07466313057808537,0.6901298187404553,x_3,0.2787090432054231,0.35630473107142124,0.1269530613838778
"['h1_1', 'h0_5', 'x_0']",-0.006367012767034978,0.03760879445445716,0.5488165851276895,x_0,0.19335278893837057,0.3086249353279587,0.0952493507061867
"['h1_5', 'h0_5', 'x_0']",-0.004380368005429276,0.03807431555212815,0.5488166907038603,x_0,0.1941702127501864,0.30786554416287376,0.09478119328270236
"['h1_1', 'h0_3', 'x_0']",-0.0062320135684982335,0.03681137857120785,0.5371800764780589,x_0,0.18925314716025618,0.3020811886068207,0.09125304451010958
"['h1_5', 'h0_3', 'x_0']",-0.004287490971764881,0.037267025049845956,0.5371801190288534,x_0,0.1900532177023115,0.3013378646451067,0.09080450866887266
"['h1_4', 'h0_5', 'x_0']",0.056727562698807285,0.05937486634709999,0.5488166037587767,x_0,0.22163967760156134,0.2833466213163915,0.08028530781141455
"['h1_4', 'h0_3', 'x_0']",0.055524789629714244,0.05811596349942322,0.5371802527599342,x_0,0.21694033529635723,0.2773389300085992,0.07691688209831471
"['h1_1', 'h0_1', 'x_3']",-0.00279741936116889,0.01652385091825617,0.24112879887968958,x_3,0.08495174347892563,0.13559786999264634,0.01838678234654262
"['h1_5', 'h0_1', 'x_3']",-0.0018946659297176872,0.016468504103884743,0.23738286012686527,x_3,0.08398556610034412,0.13316286593647264,0.017732348864414986
"['h1_1', 'h0_1', 'x_2']",-0.002449326952240199,0.014467731928463028,0.21112432202891057,x_2,0.07438090900171114,0.11872496567714282,0.01409561747503874
"['h1_1', 'h0_1', 'x_1']",0.0024226185926165956,-0.01430997047202298,-0.20882214497048224,x_1,-0.07356983228329621,0.11743034509710758,0.013789885949625779
"['h1_5', 'h0_1', 'x_2']",-0.0016589062017536359,0.014419272106513443,0.2078445031801199,x_2,0.07353495636162657,0.11659295746043111,0.013593917729369898
"['h1_5', 'h0_1', 'x_1']",0.0016408168799594432,-0.014262039073749434,-0.2055780904696214,x_1,-0.07273310422113713,0.11532158508011882,0.013299067985391082
"['h1_2', 'h0_0', 'x_1']",0.2361284736231549,0.0394672572713115,0.11393712608393078,x_1,0.1298442856594657,0.0992909200207541,0.009858686798567787
"['h1_3', 'h0_5', 'x_2']",-0.14209470758742065,-0.014390445799686425,0.04726595511102452,x_2,-0.03640639942536086,0.09658101161685183,0.009327891804934468
"['h1_3', 'h0_5', 'x_3']",-0.14209465452568776,-0.014390440425932507,0.04726593746072967,x_3,-0.036406385830296865,0.09658097555107618,0.009327884838397577
"['h1_3', 'h0_1', 'x_3']",-0.14087783624212968,-0.014267208830224856,0.04686117869563952,x_3,-0.03609462212557168,0.09575391068162904,0.009168811410825393
"['h1_3', 'h0_3', 'x_2']",-0.13682353161518773,-0.013856614713244592,0.04551256702841357,x_2,-0.03505585976667292,0.09299822154357983,0.008648669210268755
"['h1_3', 'h0_3', 'x_3']",-0.13682349290810764,-0.013856610793238367,0.045512554153007145,x_3,-0.035055849849446284,0.09299819523458482,0.008648664316889954
"['h1_2', 'h0_1', 'x_3']",-0.20257410154826685,-0.03385887377169845,-0.09774641149918724,x_3,-0.11139312893971752,0.08518146332155309,0.007255881693601095
"['h1_3', 'h0_1', 'x_2']",-0.12334792776187449,-0.012491891493346731,0.0410300827920968,x_2,-0.03160324548770815,0.08383892578655645,0.00702896547704372
"['h1_3', 'h0_1', 'x_1']",0.12200289670733223,0.012355675325848886,-0.04058267571743277,x_1,0.031258632105249456,0.08292471538344308,0.006876508421425041
"['h1_3', 'h0_5', 'x_0']",-0.11299889323923402,-0.011443807276096648,0.037587611151211626,x_0,-0.028951696454706344,0.07680474245612237,0.005898968463751287
"['h1_3', 'h0_0', 'x_1']",0.11226240403183811,0.011369220346005921,-0.03734262760180594,x_1,0.02876299892534603,0.07630415468685989,0.0058223240224762425
"['h1_2', 'h0_1', 'x_2']",-0.17736711686326873,-0.029645698908320712,-0.0855834929481874,x_2,-0.09753210290659227,0.07458204402273164,0.00556248129060868
"['h1_2', 'h0_1', 'x_1']",0.17543304075380806,0.02932243133189025,0.0846502591447486,x_1,0.09646857707681562,0.07376877405426105,0.005441832025468618
"['h1_3', 'h0_3', 'x_0']",-0.10650004277488076,-0.010785645146377596,0.035425853127026244,x_0,-0.02728661159807737,0.07238750860659474,0.005239951402269827
"['h1_0', 'h0_5', 'x_2']",-0.09629871554443901,-0.01778891829653848,0.047567874127448506,x_2,-0.022173253237842996,0.07203343460236344,0.0051888157006129716
"['h1_0', 'h0_5', 'x_3']",-0.09629867958407982,-0.01778891165370957,0.04756785636440951,x_3,-0.022173244957793294,0.07203340770326964,0.005188811825345467
"['h1_0', 'h0_3', 'x_2']",-0.09286329279250877,-0.01715430490317546,0.04587090697565945,x_2,-0.021382230240008255,0.06946366719961505,0.004825201060818877
"['h1_0', 'h0_3', 'x_3']",-0.0928632665216848,-0.017154300050259842,0.04587089399887944,x_3,-0.02138222419102173,0.06946364754849438,0.004825198330741449
"['h1_1', 'h0_0', 'x_1']",0.0012661641219055045,-0.0074790027833614315,-0.10913938687121232,x_1,-0.03845074184422275,0.06137412229811557,0.0037667828878640472
"['h1_4', 'h0_1', 'x_3']",0.011835175281588367,0.01238748708929787,0.11450061299862117,x_3,0.0462410917898358,0.059115124450708025,0.003494597938822698
"['h1_0', 'h0_5', 'x_0']",-0.07658025032485277,-0.014146396537642481,0.03782770816314853,x_0,-0.017632979566448905,0.05728361403805304,0.003281412437260628
"['h1_2', 'h0_0', 'x_3']",-0.1361977673962337,-0.02276452408778154,-0.06571838608900767,x_3,-0.07489355919100764,0.057270524905551325,0.003279913022957375
